"State","Country","report_date","yoy_pct_change"
"Victoria","Australia",2020-03-07,-0.1
"Alberta","Canada",2020-03-07,-0.16
"British Columbia","Canada",2020-03-07,-0.11
"Ontario","Canada",2020-03-07,-0.07
"Quebec","Canada",2020-03-07,0.06
"Baja California Sur","Mexico",2020-03-07,-0.08
"Jalisco","Mexico",2020-03-07,-0.02
"Mexico City","Mexico",2020-03-07,-0.01
"Nuevo Leon","Mexico",2020-03-07,0.14
"Quintana Roo","Mexico",2020-03-07,-0.08
"Alabama","United States",2020-03-07,0.11
"Arizona","United States",2020-03-07,-0.02
"California","United States",2020-03-07,-0.05
"Colorado","United States",2020-03-07,-0.1
"Connecticut","United States",2020-03-07,-0.08
"District of Columbia","United States",2020-03-07,0
"Florida","United States",2020-03-07,-0.02
"Georgia","United States",2020-03-07,-0.02
"Hawaii","United States",2020-03-07,-0.06
"Illinois","United States",2020-03-07,0.04
"Indiana","United States",2020-03-07,0.04
"Kansas","United States",2020-03-07,-0.08
"Kentucky","United States",2020-03-07,0.01
"Louisiana","United States",2020-03-07,0.05
"Maryland","United States",2020-03-07,-0.02
"Massachusetts","United States",2020-03-07,-0.05
"Michigan","United States",2020-03-07,0.06
"Minnesota","United States",2020-03-07,0.59
"Missouri","United States",2020-03-07,-0.05
"Nebraska","United States",2020-03-07,-0.1
"Nevada","United States",2020-03-07,-0.06
"New Jersey","United States",2020-03-07,-0.06
"New Mexico","United States",2020-03-07,-0.1
"New York","United States",2020-03-07,-0.1
"North Carolina","United States",2020-03-07,-0.02
"Ohio","United States",2020-03-07,-0.06
"Oklahoma","United States",2020-03-07,0
"Oregon","United States",2020-03-07,-0.07
"Pennsylvania","United States",2020-03-07,-0.03
"Rhode Island","United States",2020-03-07,-0.07
"South Carolina","United States",2020-03-07,0.03
"Tennessee","United States",2020-03-07,0.02
"Texas","United States",2020-03-07,-0.03
"Utah","United States",2020-03-07,0
"Virginia","United States",2020-03-07,0.02
"Washington","United States",2020-03-07,-0.27
"Wisconsin","United States",2020-03-07,-0.06
"New South Wales","Australia",2020-03-08,0
"Queensland","Australia",2020-03-08,-0.03
"Victoria","Australia",2020-03-08,-0.08
"Alberta","Canada",2020-03-08,-0.07
"British Columbia","Canada",2020-03-08,-0.06
"Ontario","Canada",2020-03-08,0
"Quebec","Canada",2020-03-08,0.34
"Baja California Sur","Mexico",2020-03-08,-0.11
"Jalisco","Mexico",2020-03-08,-0.04
"Mexico City","Mexico",2020-03-08,-0.1
"Nuevo Leon","Mexico",2020-03-08,-0.04
"Quintana Roo","Mexico",2020-03-08,-0.05
"Alabama","United States",2020-03-08,-0.1
"Arizona","United States",2020-03-08,-0.03
"California","United States",2020-03-08,-0.05
"Colorado","United States",2020-03-08,-0.06
"Connecticut","United States",2020-03-08,0
"District of Columbia","United States",2020-03-08,0
"Florida","United States",2020-03-08,-0.05
"Georgia","United States",2020-03-08,0.07
"Hawaii","United States",2020-03-08,-0.09
"Illinois","United States",2020-03-08,0.04
"Indiana","United States",2020-03-08,0.04
"Kansas","United States",2020-03-08,-0.09
"Kentucky","United States",2020-03-08,0.03
"Louisiana","United States",2020-03-08,-0.02
"Maryland","United States",2020-03-08,-0.01
"Massachusetts","United States",2020-03-08,0.13
"Michigan","United States",2020-03-08,0.01
"Minnesota","United States",2020-03-08,0.13
"Missouri","United States",2020-03-08,-0.1
"Nebraska","United States",2020-03-08,-0.04
"Nevada","United States",2020-03-08,-0.07
"New Jersey","United States",2020-03-08,0.1
"New Mexico","United States",2020-03-08,-0.21
"New York","United States",2020-03-08,-0.02
"North Carolina","United States",2020-03-08,-0.07
"Ohio","United States",2020-03-08,-0.06
"Oklahoma","United States",2020-03-08,-0.1
"Oregon","United States",2020-03-08,0
"Pennsylvania","United States",2020-03-08,0.02
"Rhode Island","United States",2020-03-08,0.26
"South Carolina","United States",2020-03-08,-0.05
"Tennessee","United States",2020-03-08,-0.07
"Texas","United States",2020-03-08,-0.05
"Utah","United States",2020-03-08,-0.13
"Virginia","United States",2020-03-08,0.03
"Washington","United States",2020-03-08,-0.22
"Wisconsin","United States",2020-03-08,0.15
"New South Wales","Australia",2020-03-09,-0.16
"Queensland","Australia",2020-03-09,-0.06
"Victoria","Australia",2020-03-09,-0.11
"Alberta","Canada",2020-03-09,-0.13
"British Columbia","Canada",2020-03-09,-0.03
"Ontario","Canada",2020-03-09,-0.2
"Quebec","Canada",2020-03-09,-0.04
"Baja California Sur","Mexico",2020-03-09,-0.17
"Jalisco","Mexico",2020-03-09,-0.23
"Mexico City","Mexico",2020-03-09,-0.29
"Nuevo Leon","Mexico",2020-03-09,-0.16
"Quintana Roo","Mexico",2020-03-09,-0.11
"Alabama","United States",2020-03-09,-0.11
"Arizona","United States",2020-03-09,-0.07
"California","United States",2020-03-09,-0.18
"Colorado","United States",2020-03-09,-0.13
"Connecticut","United States",2020-03-09,-0.12
"District of Columbia","United States",2020-03-09,-0.1
"Florida","United States",2020-03-09,-0.18
"Georgia","United States",2020-03-09,-0.04
"Hawaii","United States",2020-03-09,-0.08
"Illinois","United States",2020-03-09,-0.21
"Indiana","United States",2020-03-09,-0.17
"Kansas","United States",2020-03-09,-0.21
"Kentucky","United States",2020-03-09,-0.17
"Louisiana","United States",2020-03-09,-0.08
"Maryland","United States",2020-03-09,-0.06
"Massachusetts","United States",2020-03-09,-0.13
"Michigan","United States",2020-03-09,-0.14
"Minnesota","United States",2020-03-09,-0.17
"Missouri","United States",2020-03-09,-0.13
"Nebraska","United States",2020-03-09,-0.34
"Nevada","United States",2020-03-09,-0.11
"New Jersey","United States",2020-03-09,0.12
"New Mexico","United States",2020-03-09,0
"New York","United States",2020-03-09,-0.15
"North Carolina","United States",2020-03-09,-0.04
"Ohio","United States",2020-03-09,-0.19
"Oklahoma","United States",2020-03-09,0
"Oregon","United States",2020-03-09,-0.15
"Pennsylvania","United States",2020-03-09,-0.07
"Rhode Island","United States",2020-03-09,0.17
"South Carolina","United States",2020-03-09,-0.07
"Tennessee","United States",2020-03-09,-0.17
"Texas","United States",2020-03-09,-0.21
"Utah","United States",2020-03-09,-0.18
"Virginia","United States",2020-03-09,-0.04
"Washington","United States",2020-03-09,-0.3
"Wisconsin","United States",2020-03-09,-0.1
"New South Wales","Australia",2020-03-10,0.03
"Queensland","Australia",2020-03-10,0
"Victoria","Australia",2020-03-10,-0.09
"Alberta","Canada",2020-03-10,-0.1
"British Columbia","Canada",2020-03-10,-0.15
"Ontario","Canada",2020-03-10,-0.23
"Quebec","Canada",2020-03-10,-0.12
"Baja California Sur","Mexico",2020-03-10,-0.2
"Jalisco","Mexico",2020-03-10,-0.19
"Mexico City","Mexico",2020-03-10,-0.17
"Nuevo Leon","Mexico",2020-03-10,-0.04
"Quintana Roo","Mexico",2020-03-10,-0.25
"Alabama","United States",2020-03-10,-0.26
"Arizona","United States",2020-03-10,-0.14
"California","United States",2020-03-10,-0.27
"Colorado","United States",2020-03-10,-0.17
"Connecticut","United States",2020-03-10,-0.2
"District of Columbia","United States",2020-03-10,-0.18
"Florida","United States",2020-03-10,-0.18
"Georgia","United States",2020-03-10,-0.15
"Hawaii","United States",2020-03-10,-0.1
"Illinois","United States",2020-03-10,-0.18
"Indiana","United States",2020-03-10,-0.11
"Kansas","United States",2020-03-10,-0.06
"Kentucky","United States",2020-03-10,-0.21
"Louisiana","United States",2020-03-10,-0.13
"Maryland","United States",2020-03-10,-0.18
"Massachusetts","United States",2020-03-10,-0.22
"Michigan","United States",2020-03-10,-0.1
"Minnesota","United States",2020-03-10,-0.12
"Missouri","United States",2020-03-10,-0.1
"Nebraska","United States",2020-03-10,-0.11
"Nevada","United States",2020-03-10,-0.18
"New Jersey","United States",2020-03-10,-0.04
"New Mexico","United States",2020-03-10,0.07
"New York","United States",2020-03-10,-0.27
"North Carolina","United States",2020-03-10,-0.09
"Ohio","United States",2020-03-10,-0.19
"Oklahoma","United States",2020-03-10,-0.04
"Oregon","United States",2020-03-10,-0.13
"Pennsylvania","United States",2020-03-10,-0.18
"Rhode Island","United States",2020-03-10,-0.16
"South Carolina","United States",2020-03-10,-0.14
"Tennessee","United States",2020-03-10,-0.16
"Texas","United States",2020-03-10,-0.14
"Utah","United States",2020-03-10,-0.19
"Virginia","United States",2020-03-10,-0.13
"Washington","United States",2020-03-10,-0.38
"Wisconsin","United States",2020-03-10,0.01
"New South Wales","Australia",2020-03-11,-0.09
"Queensland","Australia",2020-03-11,-0.03
"Victoria","Australia",2020-03-11,-0.14
"Alberta","Canada",2020-03-11,-0.08
"British Columbia","Canada",2020-03-11,-0.13
"Ontario","Canada",2020-03-11,-0.25
"Quebec","Canada",2020-03-11,-0.2
"Baja California Sur","Mexico",2020-03-11,-0.17
"Jalisco","Mexico",2020-03-11,-0.02
"Mexico City","Mexico",2020-03-11,-0.18
"Nuevo Leon","Mexico",2020-03-11,-0.15
"Quintana Roo","Mexico",2020-03-11,-0.17
"Alabama","United States",2020-03-11,-0.08
"Arizona","United States",2020-03-11,-0.2
"California","United States",2020-03-11,-0.23
"Colorado","United States",2020-03-11,-0.08
"Connecticut","United States",2020-03-11,-0.2
"District of Columbia","United States",2020-03-11,-0.22
"Florida","United States",2020-03-11,-0.18
"Georgia","United States",2020-03-11,-0.17
"Hawaii","United States",2020-03-11,-0.11
"Illinois","United States",2020-03-11,-0.22
"Indiana","United States",2020-03-11,-0.16
"Kansas","United States",2020-03-11,-0.09
"Kentucky","United States",2020-03-11,-0.2
"Louisiana","United States",2020-03-11,-0.16
"Maryland","United States",2020-03-11,-0.21
"Massachusetts","United States",2020-03-11,-0.25
"Michigan","United States",2020-03-11,-0.18
"Minnesota","United States",2020-03-11,-0.18
"Missouri","United States",2020-03-11,-0.12
"Nebraska","United States",2020-03-11,-0.16
"Nevada","United States",2020-03-11,-0.12
"New Jersey","United States",2020-03-11,-0.14
"New Mexico","United States",2020-03-11,0.02
"New York","United States",2020-03-11,-0.32
"North Carolina","United States",2020-03-11,-0.14
"Ohio","United States",2020-03-11,-0.19
"Oklahoma","United States",2020-03-11,-0.07
"Oregon","United States",2020-03-11,-0.22
"Pennsylvania","United States",2020-03-11,-0.17
"Rhode Island","United States",2020-03-11,-0.15
"South Carolina","United States",2020-03-11,-0.07
"Tennessee","United States",2020-03-11,-0.22
"Texas","United States",2020-03-11,-0.14
"Utah","United States",2020-03-11,-0.11
"Virginia","United States",2020-03-11,-0.23
"Washington","United States",2020-03-11,-0.41
"Wisconsin","United States",2020-03-11,0
"New South Wales","Australia",2020-03-12,-0.13
"Queensland","Australia",2020-03-12,-0.17
"Victoria","Australia",2020-03-12,-0.08
"Alberta","Canada",2020-03-12,-0.23
"British Columbia","Canada",2020-03-12,-0.22
"Ontario","Canada",2020-03-12,-0.35
"Quebec","Canada",2020-03-12,-0.25
"Baja California Sur","Mexico",2020-03-12,-0.12
"Jalisco","Mexico",2020-03-12,-0.05
"Mexico City","Mexico",2020-03-12,-0.16
"Nuevo Leon","Mexico",2020-03-12,-0.2
"Quintana Roo","Mexico",2020-03-12,-0.17
"Alabama","United States",2020-03-12,-0.04
"Arizona","United States",2020-03-12,-0.18
"California","United States",2020-03-12,-0.38
"Colorado","United States",2020-03-12,-0.18
"Connecticut","United States",2020-03-12,-0.43
"District of Columbia","United States",2020-03-12,-0.38
"Florida","United States",2020-03-12,-0.22
"Georgia","United States",2020-03-12,-0.24
"Hawaii","United States",2020-03-12,-0.14
"Illinois","United States",2020-03-12,-0.26
"Indiana","United States",2020-03-12,-0.28
"Kansas","United States",2020-03-12,-0.03
"Kentucky","United States",2020-03-12,-0.21
"Louisiana","United States",2020-03-12,-0.23
"Maryland","United States",2020-03-12,-0.32
"Massachusetts","United States",2020-03-12,-0.4
"Michigan","United States",2020-03-12,-0.2
"Minnesota","United States",2020-03-12,-0.24
"Missouri","United States",2020-03-12,-0.27
"Nebraska","United States",2020-03-12,-0.05
"Nevada","United States",2020-03-12,-0.21
"New Jersey","United States",2020-03-12,-0.24
"New Mexico","United States",2020-03-12,-0.12
"New York","United States",2020-03-12,-0.48
"North Carolina","United States",2020-03-12,-0.19
"Ohio","United States",2020-03-12,-0.29
"Oklahoma","United States",2020-03-12,0.01
"Oregon","United States",2020-03-12,-0.33
"Pennsylvania","United States",2020-03-12,-0.34
"Rhode Island","United States",2020-03-12,-0.3
"South Carolina","United States",2020-03-12,-0.15
"Tennessee","United States",2020-03-12,-0.29
"Texas","United States",2020-03-12,-0.24
"Utah","United States",2020-03-12,-0.19
"Virginia","United States",2020-03-12,-0.34
"Washington","United States",2020-03-12,-0.45
"Wisconsin","United States",2020-03-12,-0.1
"New South Wales","Australia",2020-03-13,-0.06
"Queensland","Australia",2020-03-13,0.09
"Victoria","Australia",2020-03-13,-0.18
"Alberta","Canada",2020-03-13,-0.43
"British Columbia","Canada",2020-03-13,-0.3
"Ontario","Canada",2020-03-13,-0.45
"Quebec","Canada",2020-03-13,-0.48
"Baja California Sur","Mexico",2020-03-13,-0.23
"Jalisco","Mexico",2020-03-13,-0.17
"Mexico City","Mexico",2020-03-13,-0.16
"Nuevo Leon","Mexico",2020-03-13,-0.26
"Quintana Roo","Mexico",2020-03-13,-0.14
"Alabama","United States",2020-03-13,-0.24
"Arizona","United States",2020-03-13,-0.26
"California","United States",2020-03-13,-0.42
"Colorado","United States",2020-03-13,-0.41
"Connecticut","United States",2020-03-13,-0.5
"District of Columbia","United States",2020-03-13,-0.44
"Florida","United States",2020-03-13,-0.28
"Georgia","United States",2020-03-13,-0.34
"Hawaii","United States",2020-03-13,-0.14
"Illinois","United States",2020-03-13,-0.35
"Indiana","United States",2020-03-13,-0.34
"Kansas","United States",2020-03-13,-0.35
"Kentucky","United States",2020-03-13,-0.3
"Louisiana","United States",2020-03-13,-0.28
"Maryland","United States",2020-03-13,-0.37
"Massachusetts","United States",2020-03-13,-0.52
"Michigan","United States",2020-03-13,-0.43
"Minnesota","United States",2020-03-13,-0.3
"Missouri","United States",2020-03-13,-0.29
"Nebraska","United States",2020-03-13,-0.31
"Nevada","United States",2020-03-13,-0.31
"New Jersey","United States",2020-03-13,-0.4
"New Mexico","United States",2020-03-13,-0.35
"New York","United States",2020-03-13,-0.54
"North Carolina","United States",2020-03-13,-0.28
"Ohio","United States",2020-03-13,-0.37
"Oklahoma","United States",2020-03-13,-0.2
"Oregon","United States",2020-03-13,-0.4
"Pennsylvania","United States",2020-03-13,-0.44
"Rhode Island","United States",2020-03-13,-0.41
"South Carolina","United States",2020-03-13,-0.19
"Tennessee","United States",2020-03-13,-0.34
"Texas","United States",2020-03-13,-0.35
"Utah","United States",2020-03-13,-0.28
"Virginia","United States",2020-03-13,-0.34
"Washington","United States",2020-03-13,-0.53
"Wisconsin","United States",2020-03-13,-0.26
"New South Wales","Australia",2020-03-14,-0.09
"Queensland","Australia",2020-03-14,-0.04
"Victoria","Australia",2020-03-14,-0.19
"Alberta","Canada",2020-03-14,-0.44
"British Columbia","Canada",2020-03-14,-0.3
"Ontario","Canada",2020-03-14,-0.48
"Quebec","Canada",2020-03-14,-0.44
"Baja California Sur","Mexico",2020-03-14,-0.34
"Jalisco","Mexico",2020-03-14,-0.2
"Mexico City","Mexico",2020-03-14,-0.2
"Nuevo Leon","Mexico",2020-03-14,-0.34
"Quintana Roo","Mexico",2020-03-14,-0.19
"Alabama","United States",2020-03-14,-0.28
"Arizona","United States",2020-03-14,-0.24
"California","United States",2020-03-14,-0.47
"Colorado","United States",2020-03-14,-0.45
"Connecticut","United States",2020-03-14,-0.58
"District of Columbia","United States",2020-03-14,-0.44
"Florida","United States",2020-03-14,-0.31
"Georgia","United States",2020-03-14,-0.36
"Hawaii","United States",2020-03-14,-0.19
"Illinois","United States",2020-03-14,-0.47
"Indiana","United States",2020-03-14,-0.48
"Kansas","United States",2020-03-14,-0.39
"Kentucky","United States",2020-03-14,-0.46
"Louisiana","United States",2020-03-14,-0.34
"Maryland","United States",2020-03-14,-0.59
"Massachusetts","United States",2020-03-14,-0.41
"Michigan","United States",2020-03-14,-0.49
"Minnesota","United States",2020-03-14,-0.43
"Missouri","United States",2020-03-14,-0.42
"Nebraska","United States",2020-03-14,-0.32
"Nevada","United States",2020-03-14,-0.4
"New Jersey","United States",2020-03-14,-0.44
"New Mexico","United States",2020-03-14,-0.4
"New York","United States",2020-03-14,-0.36
"North Carolina","United States",2020-03-14,-0.56
"Ohio","United States",2020-03-14,-0.51
"Oklahoma","United States",2020-03-14,-0.29
"Oregon","United States",2020-03-14,-0.47
"Pennsylvania","United States",2020-03-14,-0.51
"Rhode Island","United States",2020-03-14,-0.48
"South Carolina","United States",2020-03-14,-0.21
"Tennessee","United States",2020-03-14,-0.41
"Texas","United States",2020-03-14,-0.34
"Utah","United States",2020-03-14,-0.34
"Virginia","United States",2020-03-14,-0.39
"Washington","United States",2020-03-14,-0.54
"Wisconsin","United States",2020-03-14,-0.39
"New South Wales","Australia",2020-03-15,0
"Queensland","Australia",2020-03-15,0.04
"Victoria","Australia",2020-03-15,-0.28
"Alberta","Canada",2020-03-15,-0.49
"British Columbia","Canada",2020-03-15,-0.38
"Ontario","Canada",2020-03-15,-0.53
"Quebec","Canada",2020-03-15,-0.46
"Baja California Sur","Mexico",2020-03-15,-0.29
"Jalisco","Mexico",2020-03-15,-0.38
"Mexico City","Mexico",2020-03-15,-0.36
"Nuevo Leon","Mexico",2020-03-15,-0.57
"Quintana Roo","Mexico",2020-03-15,-0.22
"Alabama","United States",2020-03-15,-0.38
"Arizona","United States",2020-03-15,-0.37
"California","United States",2020-03-15,-0.55
"Colorado","United States",2020-03-15,-0.52
"Connecticut","United States",2020-03-15,-0.57
"District of Columbia","United States",2020-03-15,-0.55
"Florida","United States",2020-03-15,-0.38
"Georgia","United States",2020-03-15,-0.47
"Hawaii","United States",2020-03-15,-0.26
"Illinois","United States",2020-03-15,-0.51
"Indiana","United States",2020-03-15,-0.51
"Kansas","United States",2020-03-15,-0.55
"Kentucky","United States",2020-03-15,-0.55
"Louisiana","United States",2020-03-15,-0.5
"Maryland","United States",2020-03-15,-0.67
"Massachusetts","United States",2020-03-15,-0.53
"Michigan","United States",2020-03-15,-0.54
"Minnesota","United States",2020-03-15,-0.51
"Missouri","United States",2020-03-15,-0.45
"Nebraska","United States",2020-03-15,-0.44
"Nevada","United States",2020-03-15,-0.37
"New Jersey","United States",2020-03-15,-0.56
"New Mexico","United States",2020-03-15,-0.44
"New York","United States",2020-03-15,-0.47
"North Carolina","United States",2020-03-15,-0.63
"Ohio","United States",2020-03-15,-0.51
"Oklahoma","United States",2020-03-15,-0.31
"Oregon","United States",2020-03-15,-0.55
"Pennsylvania","United States",2020-03-15,-0.56
"Rhode Island","United States",2020-03-15,-0.5
"South Carolina","United States",2020-03-15,-0.31
"Tennessee","United States",2020-03-15,-0.46
"Texas","United States",2020-03-15,-0.42
"Utah","United States",2020-03-15,-0.53
"Virginia","United States",2020-03-15,-0.5
"Washington","United States",2020-03-15,-0.57
"Wisconsin","United States",2020-03-15,-0.47
